cores_normalized,threads_normalized,frequency_normalized,boost_frequency_normalized,cache_normalized,lithography_normalized,tdp_normalized
0.12,0.365,0.032,0.851,0.631,0.203,0.61
0.214,0.26,0.721,0.878,0.67,0.68,0.031
0.362,0.019,0.684,0.679,0.246,0.351,0.562
0.727,0.127,0.303,0.069,0.962,0.699,0.133
0.918,0.971,0.295,0.948,0.784,0.344,0.625
0.748,0.026,0.444,0.293,0.566,0.58,0.242
0.256,0.892,0.02,0.172,0.586,0.954,0.671
0.108,0.916,0.582,0.847,0.921,0.991,0.52
0.234,0.622,0.654,0.131,0.502,0.247,0.05
0.06,0.439,0.594,0.702,0.78,0.497,0.409
0.195,0.568,0.328,0.872,0.61,0.067,0.083
0.822,0.977,0.776,0.372,0.72,0.812,0.535
0.237,0.319,0.811,0.279,0.314,0.811,0.125
0.251,0.819,0.461,0.818,0.146,0.705,0.526
0.125,0.536,0.672,0.619,0.755,0.913,0.676
0.633,0.691,0.091,0.359,0.783,0.157,0.839
0.13,0.7,0.955,0.536,0.968,0.044,0.697
0.513,0.695,0.783,0.578,0.053,0.323,0.988
0.401,0.947,0.122,0.848,0.445,0.737,0.34
0.564,0.616,0.418,0.332,0.141,0.047,0.342
0.458,0.649,0.824,0.059,0.604,0.433,0.128
0.74,0.126,0.144,0.248,0.002,0.166,0.385
0.151,0.046,0.83,0.811,0.552,0.334,0.191
0.98,0.406,0.927,0.76,0.091,0.794,0.798
0.406,0.432,0.738,0.302,0.964,0.373,0.782
0.967,0.378,0.539,0.394,0.693,0.989,0.527
0.763,0.686,0.712,0.405,0.615,0.817,0.623
0.034,0.124,0.773,0.956,0.357,0.4,0.058
0.292,0.402,0.878,0.193,0.496,0.018,0.925
0.926,0.862,0.104,0.718,0.653,0.387,0.861
0.331,0.957,0.745,0.65,0.001,0.913,0.732
0.35,0.967,0.243,0.812,0.114,0.742,0.123
0.574,0.503,0.353,0.65,0.885,0.8,0.135
0.98,0.698,0.991,0.332,0.327,0.369,0.88
0.841,0.67,0.779,0.116,0.219,0.002,0.119
0.236,0.909,0.978,0.33,0.585,0.24,0.632
0.441,0.972,0.948,0.364,0.165,0.719,0.273
0.134,0.66,0.052,0.616,0.806,0.435,0.041
0.222,0.435,0.631,0.215,0.535,0.351,0.649
0.76,0.22,0.174,0.664,0.475,0.814,0.242
0.498,0.58,0.674,0.696,0.289,0.458,0.005
0.64,0.572,0.507,0.127,0.339,0.856,0.956
0.902,0.953,0.214,0.288,0.949,0.367,0.181
0.177,0.243,0.048,0.198,0.845,0.218,0.852
0.903,0.959,0.058,0.854,0.726,0.674,0.427
0.074,0.643,0.891,0.011,0.203,0.343,0.753
0.798,0.579,0.154,0.806,0.334,0.108,0.049
0.188,0.286,0.349,0.086,0.171,0.927,0.121
0.846,0.254,0.658,0.4,0.324,0.016,0.386
0.766,0.189,0.059,0.924,0.336,0.925,0.204
0.401,0.876,0.926,0.778,0.228,0.62,0.561
0.55,0.851,0.49,0.868,0.033,0.807,0.398
0.927,0.342,0.788,0.876,0.635,0.618,0.646
0.752,0.854,0.447,0.519,0.744,0.547,0.851
0.082,0.555,0.025,0.456,0.518,0.008,0.478
0.3,0.369,0.532,0.401,0.314,0.332,0.437
0.031,0.895,0.497,0.663,0.893,0.799,0.778
0.716,0.486,0.803,0.216,0.966,0.876,0.511
0.098,0.808,0.334,0.779,0.963,0.164,0.629
0.576,0.599,0.033,0.773,0.575,0.547,0.516
0.947,0.646,0.897,0.577,0.292,0.8,0.199
0.243,0.336,0.031,0.428,0.563,0.549,0.594
0.017,0.979,0.207,0.754,0.34,0.534,0.699
0.786,0.848,0.537,0.412,0.012,0.629,0.309
0.999,0.105,0.252,0.513,0.828,0.567,0.863
0.726,0.833,0.487,0.775,0.489,0.966,0.949
0.664,0.835,0.386,0.377,0.965,0.426,0.774
0.238,0.273,0.132,0.421,0.718,0.32,0.469
0.13,0.442,0.016,0.034,0.23,0.27,0.942
0.318,0.594,0.93,0.668,0.565,0.635,0.989
0.077,0.891,0.867,0,0.735,0.718,0.552
0.984,0.209,0.133,0.271,0.549,0.473,0.271
0.641,0.739,0.804,0.101,0.882,0.588,0.395
0.708,0.463,0.921,0.191,0.598,0.37,0.322
0.218,0.626,0.546,0.522,0.748,0.679,0.312
0,0.627,0.728,0.106,0.147,0.309,0.168
0.953,0.095,0.456,0.388,0.046,0.196,0.684
0.786,0.282,0.465,0.513,0.962,0.03,0.126
0.837,0.249,0.082,0.406,0.827,0.458,0.487
0.253,0.711,0.276,0.329,0.934,0.541,0.288
0.178,0.737,0.067,0.1,0.45,0.474,0.045
0.704,0.019,0.574,0.272,0.494,0.38,0.207
0.114,0.966,0.979,0.574,0.607,0.196,0.872
0.631,0.876,0.197,0.427,0.599,0.421,0.842
0.883,0.054,0.793,0.312,0.905,0.724,0.954
0.439,0.372,0.33,0.93,0.686,0.084,0.971
0.876,0.937,0.883,0.598,0.486,0.614,0.919
0.986,0.198,0.256,0.253,0.867,0.636,0.884
0.353,0.054,0.283,0.073,0.548,0.778,0.361
0.038,0.582,0.46,0.63,0.284,0.755,0.648
0.402,0.411,0.044,0.911,0.882,0.144,0.225
0.267,0.589,0.126,0.355,0.587,0.085,0.977
0.335,0.148,0.478,0.074,0.703,0.128,0.914
0.09,0.913,0.092,0.395,0.693,0.447,0.411
0.658,0.075,0.999,0.111,0.054,0.617,0.151
0.172,0.695,0.445,0.725,0.671,0.676,0.225
0.648,0.616,0.26,0.368,0.242,0.741,0.001
0.373,0.752,0.44,0.261,0.326,0.194,0.821
0.611,0.944,0.673,0.221,0.847,0.196,0.435
0.305,0.07,0.604,0.986,0.887,0.265,0.827
0.851,0.944,0.321,0.615,0.467,0.002,0.727
0.366,0.423,0.57,0.469,0.387,0.912,0.163
0.634,0.111,0.691,0.635,0.227,0.819,0.571
0.763,0.407,0.517,0.839,0.065,0.031,0.382
0.226,0.999,0.749,0.673,0.531,0.66,0.859
0.053,0.338,0.467,0.819,0.434,0.153,0.288
0.072,0.359,0.256,0.455,0.788,0.69,0.988
0.219,0.837,0.729,0.757,0.666,0.525,0.253
0.798,0.022,0.555,0.2,0.035,0.168,0.606
0.825,0.01,0.811,0.562,0.129,0.658,0.552
0.551,0.408,0.867,0.773,0.976,0.177,0.064
0.194,0.847,0.573,0.178,0.166,0.259,0.687
0.203,0.019,0.904,0.158,0.791,0.969,0.834
0.009,0.973,0.031,0.883,0.962,0.571,0.655
0.799,0.723,0.419,0.534,0.388,0.451,0.007
0.341,0.775,0.386,0.965,0.559,0.015,0.509
0.386,0.927,0.548,0.506,0.096,0.664,0.134
0.493,0.674,0.589,0.335,0.004,0.423,0.616
0.079,0.815,0.236,0.082,0.593,0.979,0.336
0.924,0.711,0.244,0.877,0.502,0.099,0.248
0.632,0.911,0.75,0.004,0.693,0.42,0.399
0.703,0.687,0.795,0.646,0.486,0.119,0.464
0.251,0.709,0.267,0.748,0.498,0.001,0.538
0.323,0.059,0.617,0.209,0.778,0.366,0.632
0.065,0.907,0.837,0.146,0.035,0.845,0.649
0.608,0.526,0.332,0.607,0.032,0.402,0.984
0.952,0.973,0.59,0.424,0.542,0.529,0.564
0.74,0.392,0.8,0.42,0.153,0.936,0.268
0.778,0.394,0.314,0.253,0.448,0.294,0.3
0.008,0.978,0.742,0.012,0.998,0.665,0.24
0.387,0.246,0.095,0.518,0.67,0.658,0.06
0.323,0.55,0.677,0.024,0.581,0.136,0.567
0.338,0.816,0.455,0.33,0.73,0.436,0.164
0.788,0.492,0.253,0.513,0.494,0.57,0.059
0.938,0.089,0.902,0.008,0.713,0.633,0.489
0.467,0.924,0.961,0.372,0.087,0.315,0.52
0.34,0.439,0.027,0.794,0.222,0.91,0.81
0.124,0.357,0.337,0.696,0.661,0.151,0.413
0.037,0.155,0.237,0.318,0.409,0.564,0.159
0.357,0.257,0.825,0.841,0.165,0.968,0.021
0.127,0.861,0.474,0.579,0.529,0.453,0.66
0.487,0.525,0.011,0.633,0.193,0.289,0.574
0.204,0.696,0.309,0.911,0.605,0.35,0.761
0.634,0.104,0.382,0.482,0.403,0.797,0.475
0.673,0.451,0.049,0.8,0.131,0.644,0.677
0.692,0.868,0.276,0.789,0.91,0.705,0.645
0.284,0.324,0.872,0.348,0.111,0.96,0.548
0.004,0.211,0.565,0.681,0.546,0.656,0.767
0.581,0.35,0.131,0.612,0.691,0.725,0.986
0.501,0.094,0.415,0.385,0.681,0.351,0.184
0.321,0.752,0.859,0.643,0.967,0.977,0.104
0.193,0.018,0.674,0.81,0.621,0.856,0.787
0.045,0.829,0.033,0.389,0.279,0.487,0.851
0.571,0.141,0.213,0.06,0.507,0.943,0.942
0.793,0.26,0.535,0.646,0.194,0.225,0.788
0.82,0.789,0.857,0.622,0.208,0.524,0.449
0.982,0.615,0.556,0.078,0.113,0.929,0.869
0.132,0.495,0.75,0.854,0.207,0.323,0.993
0.9,0.948,0.104,0.09,0.683,0.259,0.799
0.225,0.942,0.745,0.128,0.129,0.48,0.909
0.495,0.566,0.355,0.938,0.359,0.667,0.449
0.361,0.298,0.559,0.958,0.922,0.706,0.09
0.56,0.464,0.13,0.082,0.782,0.147,0.162
0.67,0.034,0.591,0.491,0.789,0.289,0.311
0.147,0.305,0.472,0.422,0.448,0.222,0.015
0.55,0.802,0.236,0.887,0.1,0.469,0.271
0.467,0.271,0.108,0.653,0.478,0.551,0.249
0.302,0.513,0.62,0.475,0.693,0.53,0.697
0.26,0.126,0.629,0.844,0.239,0.422,0.834
0.307,0.569,0.734,0.169,0.982,0.458,0.109
0.966,0.393,0.945,0.661,0.949,0.523,0.442
0.546,0.597,0.202,0.314,0.869,0.001,0.509
0.793,0.645,0.272,0.259,0.381,0.796,0.677
0.946,0.813,0.64,0.49,0.396,0.83,0.554
0.492,0.341,0.217,0.5,0.517,0.695,0.505
0.532,0.774,0.412,0.193,0.759,0.464,0.385
0.833,0.217,0.415,0.878,0.432,0.144,0.801
0.938,0.092,0.025,0.738,0.404,0.172,0.975
0.135,0.664,0.155,0.695,0.617,0.249,0.921
0.349,0.802,0.438,0.584,0.411,0.069,0.17
0.789,0.93,0.891,0.855,0.31,0.695,0.808
0.939,0.815,0.196,0.796,0.467,0.446,0.151
0.68,0.635,0.427,0.317,0.613,0.469,0.344
0.348,0.31,0.44,0.257,0.679,0.54,0.075
0.539,0.984,0.14,0.225,0.947,0.914,0.701
0.896,0.544,0.561,0.148,0.511,0.124,0.079
0.454,0.687,0.495,0.214,0.908,0.087,0.851
0.768,0.16,0.252,0.256,0.825,0.813,0.25
0.183,0.397,0.544,0.698,0.765,0.541,0.637
0.818,0.593,0.774,0.698,0.936,0.841,0.539
0.825,0.365,0.458,0.926,0.733,0.645,0.456
0.508,0.667,0.134,0.617,0.301,0.656,0.337
0.483,0.141,0.705,0.412,0.704,0.995,0.687
0.656,0.236,0.947,0.167,0.704,0.15,0.375
0.789,0.252,0.674,0.623,0.094,0.416,0.491
0.827,0.701,0.693,0.575,0.528,0.671,0.333
0.565,0.63,0.233,0.198,0.174,0.439,0.458
0.743,0.169,0.595,0.418,0.398,0.25,0.415
0.547,0.617,0.985,0.475,0.273,0.138,0.114
0.239,0.345,0.325,0.71,0.975,0.014,0.937
0.303,0.408,0.499,0.806,0.294,0.504,0.923
0.536,0.236,0.292,0.485,0.652,0.027,0.071
0.918,0.382,0.323,0,0.501,0.203,0.163
0.22,0.974,0.318,0.32,0.685,0.416,0.962
0.853,0.003,0.961,0.404,0.938,0.701,0.921
0.942,0.609,0.895,0.499,0.461,0.504,0.384
0.166,0.689,0.849,0.611,0.719,0.258,0.66
0.669,0.532,0.328,0.653,0.592,0.33,0.377
0.869,0.158,0.886,0.204,0.101,0.501,0.624
0.454,0.741,0.699,0.356,0.002,0.09,0.338
0.905,0.159,0.743,0.949,0.432,0.224,0.239
0.906,0.075,0.699,0.057,0.904,0.431,0.77
0.099,0.634,0.835,0.837,0.775,0.881,0.267
0.613,0.511,0.701,0.502,0.374,0.729,0.994
0.573,0.943,0.663,0.652,0.28,0.247,0.402
0.374,0.943,0.261,0.253,0.063,0.46,0.839
0.62,0.407,0.357,0.439,0.758,0.839,0.081
0.201,0.627,0.643,0.265,0.037,0.491,0.674
0.382,0.162,0.737,0.029,0.029,0.572,0.179
0.756,0.08,0.06,0.031,0.938,0.013,0.355
0.611,0.419,0.519,0.677,0.609,0.88,0.438
0.47,0.794,0.835,0.818,0.944,0.452,0.205
0.373,0.073,0.232,0.344,0.303,0.291,0.378
0.397,0.384,0.463,0.804,0.382,0.76,0.697
0.616,0.773,0.344,0.419,0.514,0.044,0.367
0.301,0.067,0.882,0.045,0.423,0.236,0.316
0.217,0.036,0.992,0.994,0.3,0.16,0.845
0.413,0.306,0.953,0.165,0.699,0.56,0.263
0.926,0.582,0.745,0.717,0.283,0.288,0.365
0.921,0.488,0.718,0.965,0.907,0.439,0.209
0.686,0.187,0.584,0.667,0.211,0.766,0.708
0.331,0.599,0.029,0.491,0.379,0.291,0.066
0.712,0.16,0.868,0.789,0.596,0.299,0.436
0.72,0.732,0.131,0.271,0.16,0.876,0.07
0.908,0.054,0.038,0.981,0.965,0.56,0.367
0.114,0.055,0.705,0.689,0.47,0.624,0.774
0.729,0.055,0.885,0.538,0.243,0.764,0.217
0.099,0.987,0.854,0.033,0.806,0.653,0.447
0.675,0.721,0.798,0.395,0.401,0.09,0.818
0.34,0.354,0.93,0.369,0.363,0.666,0.443
0.503,0.339,0.247,0.545,0.852,0.932,0.846
0.007,0.895,0.928,0.221,0.27,0.836,0.256
0.088,0.031,0.401,0.018,0.729,0.259,0.82
0.427,0.035,0.189,0.914,0.809,0.599,0.549
0.135,0.611,0.992,0.117,0.179,0.769,0.717
0.677,0.29,0.008,0.518,0.374,0.012,0.954
0.912,0.406,0.19,0.042,0.118,0.242,0.78
0.322,0.844,0.014,0.129,0.467,0.089,0.168
0.093,0.455,0.307,0.409,0.96,0.629,0.409
0.593,0.74,0.73,0.071,0.266,0.717,0.944
0.882,0.882,0.088,0.051,0.698,0.078,0.033
0.398,0.773,0.632,0.01,0.779,0.552,0.091
0.326,0.237,0.788,0.012,0.161,0.294,0.048
0.953,0.486,0.593,0.011,0.551,0.929,0.571
0.376,0.249,0.863,0.445,0.185,0.594,0.639
0.035,0.695,0.639,0.041,0.24,0.914,0.022
0.911,0.443,0.065,0.308,0.184,0.771,0.672
0.073,0.929,0.088,0.308,0.012,0.073,0.061
0.156,0.187,0.428,0.434,0.053,0.042,0.561
0.194,0.072,0.593,0.249,0.7,0.009,0.953
0.992,0.734,0.349,0.632,0.863,0.002,0.712
0.887,0.604,0.508,0.574,0.783,0.358,0.069
0.799,0.244,0.422,0.472,0.571,0.314,0.964
0.468,0.22,0.63,0.64,0.722,0.869,0.327
0.174,0.164,0.245,0.361,0.74,0.901,0.684
0.295,0.014,0.716,0.833,0.296,0.081,0.379
0.043,0.96,0.479,0.931,0.051,0.272,0.111
0.868,0.088,0.639,0.79,0.289,0.444,0.666
0.786,0.442,0.373,0.639,0.887,0.396,0.245
0.493,0.029,0.059,0.223,0.16,0.138,0.119
0.864,0.283,0.965,0.715,0.567,0.261,0.456
0.773,0.075,0.231,0.946,0.578,0.567,0.615
0.617,0.842,0.435,0.597,0.93,0.39,0.641
0.504,0.408,0.173,0.421,0.918,0.452,0.049
0.7,0.986,0.876,0.871,0.479,0.316,0.644
0.336,0.036,0.657,0.849,0.53,0.592,0.189
0.266,0.169,0.721,0.363,0.143,0.941,0.343
0.541,0.872,0.027,0.565,0.102,0.319,0.974
0.4,0.819,0.54,0.587,0.962,0.958,0.67
0.24,0.266,0.909,0.677,0.843,0.2,0.995
0.775,0.424,0.272,0.489,0.915,0.545,0.288
0.598,0.171,0.435,0.781,0.898,0.757,0.306
0.688,0.538,0.154,0.005,0.267,0.593,0.544
0.286,0.335,0.289,0.03,0.257,0.714,0.305
0.746,0.476,0.356,0.773,0.265,0.252,0.293
0.232,0.734,0.187,0.521,0.214,0.343,0.028
0.063,0.498,0.688,0.647,0.111,0.181,0.155
0.851,0.36,0.721,0.968,0.105,0.625,0.258
0.804,0.686,0.754,0.167,0.848,0.081,0.768
0.499,0.869,0.895,0.031,0.867,0.928,0.187
0.902,0.979,0.362,0.264,0.644,0.991,0.911
0.993,0.274,0.978,0.539,0.066,0.126,0.816
0.784,0.911,0.159,0.628,0.707,0.563,0.945
0.842,0.871,0.396,0.78,0.007,0.829,0.505
0.85,0.966,0.147,0.947,0.956,0.847,0.497
0.092,0.671,0.883,0.005,0.604,0.633,0.787
0.867,0.081,0.248,0.581,0.324,0.721,0.612
0.526,0.604,0.955,0.947,0.808,0.546,0.215
0.681,0.452,0.396,0.552,0.427,0.918,0.535
0.003,0.093,0.033,0.039,0.284,0.205,0.167
0.225,0.706,0.395,0.523,0.925,0.774,0.796
0.842,0.069,0.852,0.038,0.8,0.012,0.595
0.233,0.895,0.99,0.786,0.873,0.894,0.813
0.015,0.09,0.79,0.175,0.634,0.177,0.336
0.568,0.356,0.71,0.04,0.195,0.902,0.501
0.15,0.556,0.821,0.529,0.192,0.528,0.98
0.619,0.103,0.579,0.899,0.308,0.849,0.445
0.599,0.042,0.708,0.482,0.869,0.52,0.486
0.167,0.92,0.972,0.602,0.44,0.147,0.17
0.348,0.094,0.292,0.783,0.448,0.076,0.176
0.585,0.278,0.71,0.743,0.956,0.586,0.752
0.666,0.14,0.119,0.621,0.993,0.502,0.724
0.062,0.696,0.125,0.14,0.16,0.61,0.476
0.664,0.019,0.024,0.322,0.635,0.729,0.991
0.954,0.207,0.448,0.938,0.107,0.27,0.981
0.546,0.92,0.63,0.906,0.071,0.743,0.18
0.288,0.404,0.735,0.287,0.412,0.738,0.71
0.93,0.577,0.978,0.718,0.444,0.148,0.112
0.807,0.26,0.732,0.529,0.592,0.482,0.311
0.704,0.429,0.094,0.133,0.591,0.094,0.836
0.446,0.58,0.844,0.045,0.04,0.555,0.485
0.389,0.404,0.626,0.731,0.072,0.324,0.616
0.143,0.578,0.098,0.843,0.542,0.654,0.814
0.646,0.167,0.38,0.471,0.646,0.093,0.96
0.71,0.184,0.731,0.141,0.975,0.277,0.458
0.987,0.705,0.919,0.421,0.757,0.771,0.698
0.08,0.665,0.994,0.16,0.794,0.179,0.467
0.799,0.797,0.629,0.046,0.084,0.49,0.854
0.82,0.388,0.085,0.529,0.681,0.323,0.774
0.921,0.76,0.544,0.985,0.892,0.472,0.577
0.464,0.294,0.634,0.028,0.75,0.569,0.635
0.578,0.766,0.622,0.416,0.229,0.989,0.96
0.422,0.037,0.666,0.001,0.296,0.683,0.217
0.245,0.145,0.343,0.442,0.544,0.795,0.242
0.792,0.831,0.959,0.081,0.316,0.784,0.905
0.689,0.093,0.914,0.121,0.993,0.955,0.359
0.19,0.51,0.907,0.986,0.813,0.539,0.561
0.227,0.936,0.669,0.869,0.188,0.618,0.26
0.932,0.319,0.94,0.679,0.603,0.911,0.186
0.03,0.857,0.508,0.07,0.272,0.132,0.164
0.983,0.334,0.928,0.968,0.347,0.365,0.772
0.761,0.354,0.576,0.88,0.509,0.762,0.231
0.38,0.862,0.84,0.359,0.155,0.344,0.955
0.347,0.298,0.552,0.785,0.892,0.553,0.93
0.523,0.28,0.861,0.305,0.249,0.612,0.515
0.497,0.865,0.133,0.279,0.369,0.067,0.248
0.584,0.556,0.516,0.616,0.832,0.378,0.671
0.728,0.345,0.9,0.255,0.562,0.878,0.188
0.909,0.675,0.327,0.618,0.824,0.066,0.628
0.856,0.954,0.478,0.574,0.647,0.773,0.765
0.888,0.929,0.536,0.501,0.942,0.901,0.543
0.098,0.512,0.254,0.308,0.607,0.232,0.669
0.633,0.598,0.969,0.339,0.371,0.969,0.177
0.898,0.008,0.539,0.688,0.38,0.103,0.621
0.705,0.396,0.45,0.698,0.064,0.678,0.966
0.823,0.723,0.229,0.638,0.656,0.508,0.904
0.072,0.577,0.831,0.41,0.525,0.204,0.979
0.314,0.024,0.435,0.036,0.131,0.504,0.311
0.378,0.376,0.267,0.153,0.573,0.857,0.336
0.894,0.151,0.446,0.546,0.902,0.379,0.164
0.714,0.407,0.541,0.614,0.977,0.249,0.36
0.004,0.734,0.309,0.224,0.75,0.102,0.592
0.632,0.984,0.45,0.486,0.485,0.859,0.542
0.305,0.79,0.772,0.252,0.971,0.003,0.864
0.206,0.858,0.824,0.413,0.698,0.825,0.806
0.528,0.027,0.957,0.114,0.928,0.715,0.45
0.352,0.301,0.804,0.795,0.833,0.985,0.504
0.94,0.5,0.003,0.778,0.384,0.298,0.841
0.694,0.5,0.866,0.916,0.707,0.45,0.298
0.6,0.497,0.661,0.503,0.923,0.1,0.224
0.844,0.471,0.481,0.468,0.644,0.663,0.42
0.22,0.02,0.882,0.016,0.676,0.988,0.189
0.33,0.234,0.856,0.861,0.021,0.15,0.303
0.679,0.777,0.891,0.101,0.67,0.575,0.26
0.334,0.007,0.792,0.874,0.843,0.399,0.071
1,0.698,0.128,0.557,0.166,0.312,0.827
0.128,0.921,0.504,0.718,0.465,0.492,0.287
0.182,0.214,0.943,0.358,0.952,0.418,0.091
0.016,0.877,0.423,0.354,0.143,0.484,0.977
0.013,0.134,0.454,0.43,0.232,0.392,0.43
0.997,0.077,0.076,0.581,0.626,0.66,0.492
0.455,0.619,0.315,0.214,0.35,0.162,0.834
0.566,0.565,0.247,0.939,0.051,0.362,0.439
0.45,0.638,0.991,0.992,0.363,0.794,0.77
0.716,0.514,0.339,0.867,0.524,0.025,0.931
0.205,0.286,0.605,0.619,0.541,0.836,0.542
0.036,0.333,0.485,0.392,0.941,0.722,0.695
0.412,0.721,0.966,0.966,0.998,0.132,0.274
0.453,0.824,0.682,0.674,0.142,0.262,0.84
0.35,0.456,0.211,0.326,0.899,0.12,0.109
0.029,0.849,0.684,0.843,0.345,0.976,0.614
0.77,0.557,0.188,0.457,0.017,0.315,0.836
0.571,0.455,0.387,0.554,0.583,0.566,0.911
0.475,0.575,0.138,0.65,0.527,0.39,0.513
0.614,0.042,0.402,0.463,0.098,0.953,0.292
0.18,0.507,0.423,0.976,0.62,0.049,0.391
0.76,0.351,0.924,0.054,0.505,0.359,0.689
0.157,0.042,0.569,0.116,0.445,0.396,0.884
0.629,0.364,0.233,0.304,0.89,0.621,0.431
0.835,0.949,0.467,0.619,0.362,0.029,0.872
0.184,0.753,0.576,0.24,0.552,0.318,0.266
0.687,0.392,0.063,0.701,0.209,0.632,0.68
0.083,0.293,0.991,0.16,0.874,0.518,0.721
0.768,0.889,0.023,0.683,0.712,0.005,0.144
0.538,0.475,0.227,0.017,0.975,0.63,0.768
0.989,0.184,0.466,0.845,0.172,0.597,0.796
0.806,0.983,0.255,0.09,0.303,0.516,0.535
0.693,0.912,0.099,0.484,0.634,0.12,0.874
0.457,0.881,0.655,0.447,0.885,0.646,0.358
0.229,0.948,0.713,0.744,0.276,0.134,0.698
0.167,0.876,0.515,0.965,0.368,0.631,0.408
0.772,0.911,0.641,0.191,0.27,0.044,0.769
0.101,0.87,0.829,0.182,0.788,0.986,0.601
0.381,0.45,0.314,0.876,0.206,0.106,0.266
0.84,0.832,0.955,0.518,0.36,0.181,0.615
0.794,0.048,0.266,0.215,0.297,0.205,0.779
0.87,0.465,0.604,0.401,0.546,0.442,0.88
0.072,0.531,0.667,0.8,0.816,0.699,0.645
0.595,0.313,0.835,0.612,0.655,0.308,0.697
0.187,0.425,0.027,0.36,0.588,0.711,0.297
0.587,0.261,0.012,0.597,0.449,0.906,0.787
0.742,0.475,0.411,0.177,0.934,0.13,0.583
0.195,0.615,0.823,0.444,0.385,0.329,0.623
0.817,0.28,0.738,0.085,0.907,0.016,0.269
0.736,0.834,0.224,0.282,0.779,0.007,0.06
0.938,0.019,0.143,0.095,0.821,0.695,0.261
0.312,0.862,0.556,0.811,0.683,0.192,0.963
0.476,0.648,0.595,0.821,0.882,0.443,0.041
0.493,0.501,0.292,0.575,0.839,0.387,0.232
0.388,0.908,0.993,0.471,0.379,0.915,0.568
0.725,0.561,0.761,0.214,0.323,0.235,0.208
0.835,0.686,0.693,0.209,0.824,0.55,0.479
0.306,0.404,0.217,0.138,0.42,0.204,0.713
0.784,0.622,0.358,0.063,0.769,0.119,0.433
0.808,0.079,0.437,0.087,0.339,0.434,0.4
0.568,0.907,0.225,0.269,0.34,0.626,0.085
0.134,0.137,0.526,0.321,0.336,0.84,0.625
0.509,0.265,0.402,0.294,0.373,0.088,0.455
0.054,0.588,0.031,0.607,0.586,0.827,0.744
0.61,0.777,0.799,0.719,0.237,0.335,0.516
0.9,0.12,0.798,0.591,0.048,0.9,0.548
0.076,0.656,0.114,0.28,0.639,0.581,0.594
0.401,0.528,0.139,0.536,0.781,0.882,0.616
